,GCF_000956175.1_ASM95617v1,GCF_013407145.1_ASM1340714v1,GCF_000018465.1_ASM1846v1,GCF_013407165.1_ASM1340716v1,GCF_000875775.1_ASM87577v1,GCF_000007225.1_ASM722v1,GCF_000016385.1_ASM1638v1,GCF_000015805.1_ASM1580v1,GCF_000234805.1_ASM23480v1,GCF_000019805.1_ASM1980v1,GCF_900095295.1_MCBB,GCF_001458655.1_Mb9,GCF_000191585.1_ASM19158v1,GCF_000214725.1_ASM21472v1,GCF_002813695.1_ASM281369v1,GCF_000739065.1_ASM73906v1,GCF_000023985.1_ASM2398v1,GCF_000092305.1_ASM9230v1,GCF_000091665.1_ASM9166v1,GCF_000024625.1_ASM2462v1,GCF_000023965.1_ASM2396v1,GCF_000011085.1_ASM1108v1,GCF_018200015.1_ASM1820001v1,GCF_002844335.1_ASM284433v1,GCF_000007185.1_ASM718v1,GCF_000007065.1_ASM706v1,GCF_000969885.1_ASM96988v1,GCF_000969905.1_ASM96990v1,GCF_001304615.2_ASM130461v2,GCF_000970265.1_ASM97026v1,GCF_000195935.2_ASM19593v2,GCF_008245085.1_ASM824508v1,GCF_000011105.1_ASM1110v1,GCF_001577775.1_ASM157777v1,GCF_000215995.1_ASM21599v1,GCF_000800805.1_ASM80080v1,GCF_900090055.1_C.divulgatum_PM4,GCF_000152265.2_ASM15226v2,GCF_000008265.1_ASM826v1,GCF_000195915.1_ASM19591v1,GCF_000582535.1_ASM58253v1,GCF_000281235.1_ASM28123v1,GCF_018024475.1_ASM1802447v1,GCF_000026205.1_ASM2620v1,GCF_003640545.1_ASM364054v1,GCF_000734035.1_ASM73403v1,GCF_000025285.1_ASM2528v1,GCF_000385565.1_ASM38556v1,GCF_000194625.1_ASM19462v1,GCF_000025505.1_ASM2550v1,Genes,Z-DNAs,Z-DNAs_in_promoter,Genes_with_Z-DNAs_in_promoter,Max_zh-score,Average_zh-score,functions
412,WP_048117671.1,WP_179361230.1,WP_012214737.1,WP_067959499.1,WP_012214737.1,WP_011007411.1,WP_011901773.1,WP_011850769.1,WP_014289400.1,WP_012351302.1,WP_071905913.1,WP_048073079.1,WP_013645956.1,WP_013824784.1,WP_004030100.1,WP_010870559.1,WP_015733602.1,WP_013100362.1,WP_010870559.1,WP_015733602.1,WP_012808037.1,WP_004515440.1,WP_004515440.1,WP_004515440.1,WP_011019051.1,WP_011034194.1,WP_048166883.1,WP_048121499.1,WP_054299301.1,WP_048124825.1,WP_010867743.1,WP_010867743.1,WP_048053423.1,WP_014734529.1,WP_013905141.1,WP_048111137.1,WP_021789241.1,WP_048074061.1,WP_011177654.1,WP_010900518.1,WP_025208458.1,WP_146612328.1,WP_210954886.1,WP_012504538.1,WP_121464058.1,WP_231487701.1,WP_012940379.1,WP_015590315.1,WP_013684013.1,WP_012965270.1,50,20,8,8,13713.99,2732.676315,30S ribosomal protein S12
413,WP_048117300.1,WP_179361293.1,WP_238523189.1,WP_246275364.1,WP_237087657.1,WP_011007412.1,WP_011901774.1,WP_011850770.1,WP_014289401.1,WP_012351303.1,WP_071907018.1,WP_048071975.1,WP_013644410.1,WP_048188367.1,WP_100906055.1,WP_048202524.1,WP_015791049.1,WP_013100111.1,WP_010869687.1,WP_015733706.1,WP_015763540.1,WP_004963344.1,WP_004963344.1,WP_004593560.1,WP_158295995.1,WP_011034089.1,WP_048166993.1,WP_048118588.1,WP_054299417.1,WP_048124743.1,WP_157868100.1,WP_011012794.1,WP_010885707.1,WP_173644913.1,WP_013905009.1,WP_048111374.1,WP_077076517.1,WP_019841629.1,WP_011178023.1,WP_010901441.1,*,*,*,*,*,WP_010879771.1,WP_012940424.1,WP_015590243.1,WP_013683070.1,WP_012965356.1,45,23,7,7,6565.992,2094.018830434783,DNA-directed RNA polymerase subunit D
414,WP_052661908.1,WP_179361291.1,WP_012214809.1,WP_179363154.1,WP_148703858.1,WP_011007414.1,WP_011901776.1,WP_011850772.1,WP_014289403.1,WP_012351305.1,WP_071907016.1,WP_048071973.1,WP_013644412.1,WP_013825950.1,WP_100906793.1,WP_048202522.1,WP_015791047.1,WP_013100109.1,WP_010869689.1,WP_015733704.1,WP_015763542.1,WP_004593558.1,WP_004593558.1,WP_008310363.1,WP_011019844.1,WP_011033696.1,WP_048167853.1,WP_048117815.1,WP_054297844.1,WP_048124439.1,WP_010867656.1,WP_011012792.1,WP_010885705.1,WP_068323539.1,WP_013905011.1,WP_048113531.1,WP_021790075.1,WP_009886730.1,WP_011177124.1,WP_010900860.1,WP_025208578.1,WP_014858734.1,WP_210954901.1,WP_049821844.1,WP_121464043.1,WP_010878624.1,WP_012939540.1,WP_015590247.1,WP_013684248.1,WP_012966440.1,50,5,0,0,1964.835,1120.6116,50S ribosomal protein L13
415,WP_048117306.1,WP_179361290.1,WP_012214808.1,WP_179363153.1,WP_012214808.1,WP_011007415.1,WP_011901777.1,WP_193322731.1,WP_014289404.1,WP_012351306.1,WP_071907015.1,WP_048071972.1,WP_013644413.1,WP_013825949.1,WP_100906058.1,WP_010869690.1,WP_010869690.1,WP_048203349.1,WP_010869690.1,WP_015733703.1,WP_015763543.1,WP_004516798.1,WP_004516798.1,WP_004516798.1,WP_011019845.1,WP_011033697.1,WP_048167854.1,WP_048117809.1,WP_054297845.1,WP_048124440.1,WP_010867657.1,WP_011012791.1,WP_010885704.1,WP_068323540.1,WP_013905012.1,WP_048111166.1,WP_021790074.1,WP_009886729.1,WP_011177125.1,WP_048161584.1,WP_038462227.1,WP_014858305.1,WP_210954900.1,WP_041186080.1,WP_121464044.1,*,WP_012939539.1,WP_015590248.1,WP_013684249.1,WP_012966439.1,49,22,12,12,4545.701,1773.118490909091,30S ribosomal protein S9
416,WP_048117776.1,WP_179361197.1,WP_148680020.1,WP_179363042.1,WP_148702863.1,WP_011007416.1,WP_011901778.1,WP_011850774.1,WP_014289405.1,WP_012351307.1,WP_071907014.1,WP_048071971.1,WP_013644414.1,WP_013825948.1,WP_100906059.1,WP_048202521.1,WP_048056292.1,WP_013100107.1,WP_010869691.1,WP_015733702.1,WP_015763544.1,WP_004516797.1,WP_004516797.1,WP_004516797.1,WP_011019846.1,WP_011033698.1,WP_082086831.1,WP_048117805.1,WP_054297846.1,WP_084630280.1,WP_010867658.1,WP_010867658.1,WP_048053446.1,WP_013747693.1,WP_013905013.1,WP_048111168.1,WP_021790073.1,WP_009886728.1,WP_011177126.1,WP_010900858.1,*,*,*,*,*,WP_010878626.1,WP_012939538.1,WP_081622993.1,WP_013684250.1,WP_012966438.1,45,13,5,5,2945.877,1595.364707692308,DNA-directed RNA polymerase subunit N
417,*,*,*,*,*,WP_011007418.1,WP_011901780.1,WP_011850776.1,WP_014289407.1,WP_012351309.1,WP_071907821.1,WP_048072774.1,WP_013643758.1,WP_013826834.1,WP_100909435.1,WP_048201663.1,WP_015790860.1,WP_013100562.1,WP_010870720.1,WP_048196891.1,WP_015763260.1,WP_011223512.1,WP_004960672.1,WP_101350311.1,WP_011019876.1,WP_011033448.1,WP_048167748.1,WP_048123117.1,WP_054298325.1,WP_048124137.1,WP_048146541.1,WP_011013005.1,WP_048053486.1,WP_068323110.1,WP_013904864.1,WP_048111612.1,WP_021789615.1,WP_019841393.1,WP_048059597.1,WP_010900487.1,*,*,*,*,*,WP_010877564.1,WP_012940437.1,WP_015589840.1,WP_013683710.1,WP_012965559.1,40,21,0,0,2752.447,1356.8394285714287,methionine adenosyltransferase
418,*,*,*,*,*,WP_011007419.1,WP_011901781.1,WP_011850777.1,WP_014289408.1,WP_012351310.1,WP_071906457.1,WP_082631388.1,WP_013645522.1,WP_083809364.1,WP_236951001.1,*,*,*,*,*,WP_015761685.1,WP_049939007.1,WP_004959161.1,WP_101351197.1,WP_148679493.1,WP_011034978.1,WP_048166527.1,WP_048121515.1,WP_054298156.1,*,WP_010868545.1,WP_011011610.1,WP_231833712.1,WP_227805322.1,WP_048058347.1,*,*,*,*,*,*,*,*,*,*,WP_010879914.1,WP_012940265.1,WP_015591123.1,WP_013683209.1,WP_012966312.1,29,43,4,4,18180.95,1891.4610069767448,DUF460 domain-containing protein
419,*,*,*,*,*,WP_011007420.1,WP_011901782.1,WP_011850778.1,WP_014289409.1,WP_012351311.1,*,*,*,*,*,WP_048201127.1,WP_015791068.1,WP_013100792.1,WP_010870585.1,WP_048197122.1,WP_012807726.1,WP_007188684.1,WP_004958314.1,WP_101350890.1,WP_011019368.1,WP_011034979.1,*,*,*,WP_084630554.1,WP_010868652.1,WP_011011478.1,WP_048053145.1,WP_068320373.1,WP_013905990.1,*,*,*,*,*,*,*,*,*,*,WP_010879913.1,WP_012940127.1,WP_015591122.1,WP_013683208.1,WP_012966311.1,27,11,3,3,28780.5,4246.583181818182,serine/threonine protein kinase
420,*,*,*,*,*,WP_011007424.1,WP_011901786.1,*,WP_014289413.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_048124929.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,1,1,1,883.5764,883.5764,universal stress protein
421,"WP_048116549.1,WP_048117532.1,WP_048117645.1",WP_246271044.1,*,WP_179362107.1,"WP_148703422.1,WP_148703581.1",*,*,*,*,*,"WP_071906125.1,WP_071906879.1",WP_060538180.1,WP_013644594.1,WP_013825756.1,*,*,*,*,WP_064496534.1,*,WP_015762192.1,WP_004964408.1,WP_004964408.1,WP_101349194.1,*,*,WP_048167260.1,WP_048122780.1,*,"WP_048125295.1,WP_048125989.1,WP_048126526.1",*,*,*,*,WP_013906057.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,23,3,1,1,783.823,729.1152666666667,universal stress protein
422,*,*,*,*,*,WP_011007425.1,WP_241428755.1,WP_011850783.1,WP_014289414.1,*,*,*,*,*,*,*,*,*,*,*,WP_015762778.1,WP_004963427.1,WP_004963427.1,WP_101349482.1,*,*,*,*,*,*,*,*,WP_010885303.1,*,*,*,*,WP_009886123.1,WP_011178194.1,*,*,*,*,*,*,*,*,*,*,*,11,9,0,0,13713.99,2799.2291111111117,carbohydrate ABC transporter permease
423,*,*,*,*,*,WP_011007427.1,WP_011901789.1,WP_011850785.1,WP_014289416.1,*,*,*,*,*,*,*,*,*,*,*,WP_015762780.1,WP_011223313.1,WP_004961297.1,WP_101350088.1,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_187288953.1,WP_011177889.1,*,*,*,*,*,*,*,*,*,*,*,10,6,0,0,1323.054,1046.2748,ABC transporter substrate-binding protein
424,WP_082051976.1,WP_246271062.1,WP_014963629.1,WP_179362262.1,WP_237087747.1,WP_011007429.1,WP_011901790.1,WP_011850786.1,WP_014289417.1,WP_012351315.1,WP_071907480.1,WP_048072375.1,WP_013644007.1,WP_013826448.1,WP_100905690.1,WP_048202311.1,WP_015791250.1,WP_013100049.1,WP_012981301.1,WP_012819640.1,WP_015763624.1,WP_004516620.1,WP_004516620.1,WP_004516620.1,WP_226988653.1,WP_011034430.1,WP_048166236.1,WP_011308351.1,WP_082384224.1,WP_048124937.1,WP_010867153.1,WP_011013106.1,WP_010884147.1,WP_074964202.1,WP_048058319.1,WP_048113940.1,WP_077075915.1,WP_236940603.1,WP_011177964.1,WP_010900992.1,*,*,*,*,*,WP_010878077.1,WP_012940351.1,WP_015589992.1,WP_232215800.1,WP_012965328.1,45,9,6,6,2752.447,1251.552,zinc finger domain-containing protein
425,WP_048115745.1,WP_179360367.1,WP_012215605.1,WP_179362263.1,WP_148703014.1,WP_011007430.1,WP_011901791.1,WP_011850787.1,WP_014289418.1,WP_012351316.1,WP_071907479.1,WP_048072374.1,WP_013644006.1,WP_013826447.1,WP_100905691.1,WP_048202312.1,WP_015791249.1,WP_013100048.1,WP_010869959.1,WP_012819639.1,WP_015763623.1,WP_004962801.1,WP_004962801.1,WP_004593354.1,WP_148679427.1,WP_011034431.1,WP_048166237.1,WP_048119914.1,WP_054298864.1,WP_048124936.1,WP_010867152.1,WP_011013107.1,WP_010884146.1,WP_068322730.1,WP_013904829.1,WP_048113038.1,WP_021789132.1,WP_019841733.1,WP_048059502.1,WP_048161648.1,*,*,*,*,*,WP_048095188.1,WP_012940350.1,WP_015589993.1,WP_013684613.1,WP_012965327.1,45,1,1,1,766.6232,766.6232,elongation factor 1-beta
426,WP_048116445.1,WP_179360151.1,WP_012215086.1,WP_179362035.1,WP_148703538.1,WP_011007433.1,WP_011901794.1,WP_011850790.1,WP_014289421.1,WP_012351319.1,WP_071906341.1,WP_048071875.1,WP_013645638.1,WP_013825112.1,WP_100907416.1,WP_048201608.1,WP_015791565.1,WP_013099716.1,WP_010870964.1,WP_015732726.1,WP_015763726.1,WP_011222786.1,WP_004963419.1,WP_101349484.1,WP_011018936.1,WP_011032856.1,WP_048167325.1,WP_048123040.1,WP_054299829.1,WP_048124622.1,WP_010867862.1,WP_011012561.1,WP_010885498.1,WP_068324036.1,WP_013905066.1,WP_048111608.1,WP_241810783.1,WP_009887615.1,WP_237698761.1,WP_010901446.1,*,*,*,*,*,WP_010877775.1,WP_012940856.1,WP_015591656.1,WP_013684660.1,WP_012965809.1,45,14,0,0,13713.99,2998.6410071428577,flap endonuclease-1
427,WP_237089274.1,WP_179361094.1,*,WP_179362934.1,*,WP_011007435.1,WP_011901795.1,WP_011850791.1,WP_014289422.1,WP_012351320.1,WP_071906467.1,WP_048073531.1,WP_013645513.1,WP_013825215.1,WP_100908841.1,WP_048202537.1,WP_015791299.1,WP_013099719.1,WP_010869667.1,WP_015733735.1,WP_012808052.1,WP_049938975.1,WP_004958894.1,WP_101351069.1,WP_011018654.1,WP_011033648.1,*,*,*,WP_048128850.1,WP_048147186.1,WP_048059100.1,WP_048053506.1,WP_068322939.1,WP_048058260.1,*,*,*,*,*,*,*,*,*,*,WP_010879811.1,WP_012939445.1,WP_015591202.1,WP_013683306.1,WP_012966452.1,35,10,3,3,1323.054,881.95877,protein-L-isoaspartate O-methyltransferase
428,*,*,*,*,*,WP_011007439.1,WP_011901798.1,WP_011850794.1,WP_014289425.1,WP_012351323.1,*,*,*,*,*,WP_048201290.1,WP_012795005.1,WP_013099637.1,WP_064496906.1,WP_015733599.1,WP_015763975.1,WP_011223899.1,WP_004958002.1,WP_101350780.1,WP_226988620.1,WP_011032175.1,WP_048168252.1,WP_048119232.1,WP_054297818.1,WP_048125326.1,WP_010867223.1,WP_011011153.1,WP_010884212.1,WP_068322442.1,WP_013906200.1,WP_048113042.1,*,*,*,*,*,*,*,*,*,WP_010877754.1,WP_012940347.1,WP_015591021.1,WP_013683094.1,WP_012966245.1,31,27,8,8,8485.756,1625.3833740740745,radical SAM protein
429,WP_048117983.1,WP_179361144.1,WP_012214641.1,WP_179362990.1,WP_148702805.1,WP_011007445.1,WP_011901804.1,"WP_011850066.1,WP_011850800.1","WP_014287995.1,WP_014289431.1",WP_012349791.1,WP_071905726.1,WP_048084389.1,"WP_013643647.1,WP_013645683.1","WP_013824608.1,WP_013826886.1",WP_100909517.1,WP_048202459.1,WP_015791783.1,WP_013099949.1,WP_010869524.1,WP_015733359.1,"WP_015762407.1,WP_015763034.1","WP_007188284.1,WP_011223443.1","WP_004961000.1,WP_004963138.1","WP_101349557.1,WP_101350206.1",WP_011019196.1,*,WP_048166753.1,*,WP_054298141.1,*,WP_048147208.1,WP_011013118.1,WP_048053535.1,WP_068322757.1,WP_013906465.1,*,WP_077075941.1,WP_009887780.1,WP_011177796.1,WP_010901412.1,*,*,*,*,*,WP_010878184.1,WP_048084662.1,"WP_015590490.1,WP_015591767.1",*,WP_012965740.1,49,67,7,7,211093.9,9950.001453731344,succinate dehydrogenase/fumarate reductase flavoprotein subunit
430,WP_048117974.1,WP_179361147.1,WP_012214644.1,WP_179362993.1,WP_148702808.1,WP_011007446.1,WP_011901805.1,WP_011850801.1,WP_014289432.1,*,*,*,WP_013645682.1,*,*,*,*,*,*,*,WP_015763033.1,WP_011223441.1,WP_004961005.1,WP_101350204.1,*,*,WP_048166754.1,*,WP_054298142.1,*,*,*,*,*,*,*,WP_077075942.1,WP_009887779.1,WP_011177797.1,WP_010901413.1,*,*,*,*,*,WP_010878185.1,WP_012941220.1,WP_015591768.1,*,WP_012965741.1,24,11,3,3,3804.257,2363.6665545454543,succinate dehydrogenase iron-sulfur subunit
431,*,*,*,*,*,WP_011007451.1,WP_011901817.1,WP_011850806.1,WP_014289437.1,WP_012351331.1,*,*,*,*,*,*,*,*,*,*,WP_015763561.1,WP_011222813.1,WP_049919260.1,WP_101349520.1,*,*,*,*,*,*,*,*,*,*,*,*,WP_241810752.1,*,*,WP_241761872.1,*,*,*,*,*,*,*,*,*,WP_012966778.1,12,20,0,0,6565.992,1582.643775,electron transfer flavoprotein subunit beta/FixA family protein
432,*,*,*,*,*,WP_011007453.1,WP_011901815.1,WP_011850808.1,WP_014289439.1,WP_148682453.1,*,*,*,*,*,*,*,*,*,*,WP_015763563.1,*,*,WP_101349522.1,*,*,*,*,*,*,*,*,*,*,*,*,WP_021790440.1,WP_009886797.1,WP_011177199.1,*,*,*,*,*,*,*,*,*,*,WP_012966170.1,11,11,2,2,5485.32,2166.5152363636366,FAD-dependent oxidoreductase
433,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_011222815.1,WP_004963265.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_010900755.1,*,*,*,*,*,*,*,*,*,*,3,6,0,0,3428.529,1615.5331333333334,FAD-dependent monooxygenase
434,WP_048118028.1,WP_179361132.1,WP_012214623.1,WP_179362972.1,WP_148702792.1,"WP_011007461.1,WP_011008100.1","WP_011899527.1,WP_011901302.1","WP_011848702.1,WP_011849268.1","WP_014287322.1,WP_014289447.1","WP_012350054.1,WP_012351341.1",WP_071907225.1,WP_048072185.1,WP_048186511.1,WP_013826229.1,WP_100905886.1,WP_048201590.1,WP_015791939.1,*,*,WP_015732813.1,WP_015762098.1,WP_049939018.1,WP_004959589.1,WP_053966701.1,*,WP_048036587.1,WP_231588087.1,WP_048122111.1,WP_226999641.1,WP_048124535.1,*,*,*,*,WP_013906351.1,WP_048112089.1,WP_021790360.1,WP_009886831.1,WP_011177388.1,WP_010901899.1,*,WP_014858895.1,*,*,*,WP_010879552.1,*,*,WP_013684530.1,WP_012965844.1,42,17,1,1,3428.529,1326.1887294117646,replication factor C small subunit
435,*,*,*,*,*,WP_011007462.1,WP_011899528.1,WP_011848701.1,WP_014289448.1,WP_012351342.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,7,0,0,13713.99,3282.8440571428573,replication factor C large subunit
436,WP_048119542.1,WP_179361155.1,WP_012214653.1,WP_179363571.1,WP_148704108.1,*,*,*,*,*,WP_071907226.1,WP_048084722.1,WP_013644238.1,WP_013826230.1,WP_100906895.1,WP_048202009.1,WP_015792010.1,WP_013099669.1,WP_010870398.1,WP_015733457.1,WP_015762713.1,WP_011223815.1,WP_004957773.1,WP_101350692.1,WP_011018377.1,WP_011032207.1,WP_048166053.1,WP_048118304.1,WP_054297812.1,WP_232308526.1,WP_010867235.1,WP_011011204.1,WP_010884229.1,WP_068319931.1,WP_048058280.1,WP_048111719.1,WP_021789071.1,WP_009887533.1,WP_011177674.1,WP_048162057.1,*,*,*,*,*,WP_010878691.1,WP_012940169.1,WP_015590271.1,WP_013683315.1,WP_012966559.1,40,34,1,1,46858.52,4965.208885294117,replication factor C large subunit
437,*,*,*,*,*,*,*,*,WP_014289450.1,WP_012349381.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_012964944.1,3,3,1,1,766.6232,702.5764,ORC1-type DNA replication protein
438,*,*,*,*,*,*,*,*,*,*,WP_071907336.1,WP_048084821.1,WP_013644164.1,WP_013826341.1,*,*,*,*,*,*,WP_015761977.1,WP_007187883.1,WP_004960371.1,WP_101348936.1,*,WP_011033324.1,WP_048167640.1,WP_048123396.1,WP_054298953.1,WP_048128639.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_048095869.1,*,WP_015591658.1,WP_013684050.1,WP_012965807.1,17,16,1,1,3051.765,1303.6569625,ORC1-type DNA replication protein
439,WP_048118324.1,WP_246271126.1,WP_012214552.1,WP_179362884.1,WP_148702679.1,WP_011007467.1,WP_128622093.1,WP_011850847.1,WP_014289453.1,WP_012349385.1,WP_071907156.1,WP_048072130.1,WP_048186338.1,WP_013826077.1,WP_100909204.1,WP_048202304.1,WP_015791255.1,WP_013100158.1,WP_010869953.1,WP_015733799.1,WP_015763709.1,WP_011223946.1,WP_004958188.1,WP_101350847.1,WP_226988654.1,WP_048038240.1,WP_082086882.1,WP_048124342.1,WP_054298959.1,WP_048128629.1,WP_010868456.1,WP_011012495.1,WP_010884797.1,WP_068324595.1,WP_013905169.1,WP_048112946.1,WP_077076525.1,WP_009887212.1,WP_011177062.1,WP_010901619.1,*,*,*,*,*,WP_010877877.1,WP_012939544.1,WP_015591215.1,WP_013684441.1,WP_012965832.1,45,24,3,3,2962.843,1133.0401458333336,S-methyl-5-thioribose-1-phosphate isomerase
440,WP_048114772.1,WP_179360723.1,WP_012216071.1,WP_179362614.1,WP_148702558.1,WP_011007480.1,WP_011899545.1,WP_011850835.1,WP_014289466.1,WP_148682247.1,WP_071907515.1,WP_048072404.1,WP_013644042.1,WP_013826482.1,WP_100905660.1,WP_048201839.1,WP_015790792.1,WP_013099788.1,WP_010870120.1,WP_015733402.1,WP_015762253.1,WP_011224645.1,WP_004593983.1,WP_101349152.1,WP_011020042.1,WP_175413404.1,WP_181952194.1,WP_197078781.1,WP_193726290.1,WP_198143817.1,WP_010868878.1,WP_011011297.1,WP_010886036.1,WP_068320085.1,WP_013906298.1,WP_048113128.1,WP_021789580.1,WP_019841541.1,WP_153274104.1,WP_010900433.1,*,*,*,*,*,WP_010878664.1,WP_012941029.1,WP_015591740.1,WP_013683015.1,WP_012966763.1,45,17,5,5,13713.99,2162.8710647058824,V-type ATP synthase subunit D
441,*,*,*,*,*,WP_011007485.1,WP_011899550.1,WP_011850830.1,WP_014289471.1,WP_012349401.1,*,*,*,*,*,WP_048202257.1,WP_015791733.1,WP_013099435.1,WP_064496482.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9,3,0,0,1323.054,1078.2346333333337,phosphomannomutase/phosphoglucomutase
442,*,*,*,*,*,*,*,*,*,*,WP_071906036.1,WP_048085567.1,WP_013645857.1,WP_013824904.1,*,WP_048201801.1,WP_015791334.1,WP_013100489.1,WP_010870612.1,WP_015733346.1,*,WP_049939020.1,WP_004959621.1,WP_101351284.1,WP_011019261.1,WP_175413366.1,WP_048168227.1,WP_048123887.1,WP_054298513.1,WP_048125488.1,WP_010868179.1,WP_011011993.1,WP_048053334.1,WP_068320655.1,WP_013905677.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,23,16,1,1,8485.756,2109.09549375,phosphoglucosamine mutase
443,WP_048114778.1,WP_179360720.1,WP_012216068.1,WP_179362612.1,WP_148702560.1,WP_011007488.1,WP_011899553.1,WP_011850827.1,WP_014289474.1,WP_012349404.1,WP_071907882.1,WP_048084310.1,WP_013643713.1,WP_013826904.1,WP_100905241.1,WP_048201345.1,WP_015791314.1,WP_013099676.1,WP_010871106.1,WP_015733519.1,WP_015763255.1,WP_004960692.1,WP_004960692.1,WP_101350306.1,WP_011019848.1,WP_048042521.1,WP_048167449.1,WP_048116728.1,WP_054299695.1,WP_048128472.1,WP_010868442.1,WP_011011718.1,WP_010884818.1,WP_068321416.1,WP_013905494.1,WP_048112314.1,WP_021790002.1,WP_009886288.1,WP_011177766.1,WP_010901000.1,*,*,*,*,*,WP_048094809.1,WP_012940512.1,WP_015590797.1,WP_013683809.1,WP_012964651.1,45,16,4,4,3514.935,1440.14046875,aspartate carbamoyltransferase
444,WP_048117872.1,WP_179361174.1,WP_148680019.1,WP_179363019.1,WP_148702832.1,WP_011007489.1,WP_011899554.1,"WP_011850826.1,WP_193322932.1",WP_014289475.1,WP_012349405.1,WP_071906134.1,WP_048085528.1,WP_013645791.1,WP_013824959.1,WP_100904704.1,WP_048201203.1,WP_015792068.1,WP_013100658.1,WP_010871054.1,WP_015733785.1,WP_015761579.1,WP_049938966.1,WP_004958630.1,WP_101350985.1,*,WP_080503104.1,WP_048167569.1,WP_048116619.1,WP_054299021.1,WP_048123974.1,WP_010868792.1,WP_011011382.1,WP_010884391.1,WP_068320177.1,WP_013906072.1,WP_052399277.1,*,WP_009886435.1,WP_011177544.1,WP_048162200.1,*,*,*,*,*,WP_048064278.1,WP_148208657.1,WP_144060458.1,WP_013684604.1,WP_012965335.1,44,16,3,3,10894.72,1932.36934375,ribosomal protein S18-alanine N-acetyltransferase
445,WP_048118718.1,WP_179360671.1,WP_012215986.1,WP_179362564.1,WP_148702642.1,WP_128867179.1,WP_128622096.1,WP_226951966.1,WP_014289482.1,WP_012349415.1,*,*,*,*,*,*,*,*,*,*,WP_015764129.1,WP_011222890.1,WP_004962956.1,WP_101349607.1,WP_011019324.1,WP_011033354.1,WP_048167665.1,WP_048123219.1,WP_054298931.1,WP_048128697.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_010878211.1,WP_012939667.1,WP_015590324.1,WP_013683701.1,WP_012965527.1,25,11,3,3,4545.701,1586.278390909091,pseudouridine synthase
446,WP_048115723.1,WP_179360379.1,WP_012215617.1,WP_179362277.1,WP_148702998.1,WP_011007502.1,WP_011899569.1,WP_011850811.1,WP_014289488.1,WP_012349420.1,WP_071907592.1,WP_048085938.1,WP_013645081.1,WP_227717018.1,WP_100906715.1,WP_048201285.1,WP_048056284.1,WP_232156321.1,WP_010869781.1,WP_015733475.1,"WP_015762525.1,WP_015763535.1",WP_011222799.1,WP_004963355.1,WP_101349503.1,WP_148679425.1,WP_175413354.1,WP_181952171.1,"WP_048122915.1,WP_198146737.1",WP_054299776.1,WP_048128045.1,WP_010867974.1,WP_011012285.1,WP_010885042.1,WP_068322156.1,WP_013905118.1,WP_202965151.1,WP_077076719.1,WP_009887008.1,WP_011177268.1,WP_010901879.1,*,*,*,*,*,WP_010879758.1,"WP_012939838.1,WP_245526128.1",WP_015591752.1,"WP_013683077.1,WP_013683211.1",WP_012966415.1,49,20,5,5,2752.447,1296.1691850000002,Mrp/NBP35 family ATP-binding protein
447,*,*,WP_187146535.1,*,*,WP_011007503.1,WP_011899570.1,WP_011848708.1,WP_014289489.1,WP_012349421.1,*,*,*,*,*,*,*,*,*,*,WP_015763687.1,WP_004962275.1,WP_004962275.1,WP_004593122.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_025208528.1,*,*,*,*,*,*,*,*,*,11,7,4,4,6565.992,4096.236828571428,cytidine deaminase
448,*,*,WP_012215017.1,*,WP_148703617.1,WP_011007505.1,WP_011899572.1,WP_011848710.1,WP_014289491.1,WP_012349423.1,WP_071905869.1,*,*,*,*,*,*,*,*,*,WP_015761996.1,WP_011224398.1,WP_004960034.1,WP_101348851.1,*,*,WP_048167179.1,*,WP_054297629.1,*,WP_010867386.1,WP_011011262.1,WP_010885966.1,WP_068320025.1,WP_048058323.1,*,*,WP_009887560.1,*,WP_156778508.1,*,*,*,*,*,WP_081868581.1,*,*,*,WP_012965730.1,23,8,1,1,3428.529,1452.14115,SDR family oxidoreductase
